135, 188, 188, 188, 77, 80
22, 104, 104, 178, 104, 97
106, 106, 16, 11, 106, 36
119, 44, 102, 102, 102, 45
183, 77, 183, 80, 135, 183
178, 106, 178, 93, 178, 188
119, 45, 127, 44, 127, 127
186, 120, 172, 172, 132, 172
180, 136, 136, 64, 136, 70
97, 164, 126, 126, 126, 27
183, 183, 183, 104, 86, 20
106, 96, 106, 106, 65, 16
87, 162, 185, 185, 180, 185
29, 138, 40, 138, 113, 138
111, 20, 111, 200, 111, 91
107, 44, 107, 119, 45, 107
173, 185, 19, 185, 85, 185
29, 40, 203, 203, 203, 113
170, 170, 162, 180, 87, 170
91, 200, 20, 185, 185, 185
103, 103, 17, 34, 103, 168
183, 128, 183, 183, 184, 53
108, 104, 108, 86, 108, 20
39, 183, 183, 183, 166, 58
126, 126, 77, 80, 135, 126
146, 146, 146, 168, 34, 17
65, 149, 96, 149, 16, 149
17, 97, 168, 34, 97, 97
23, 16, 149, 149, 88, 149
86, 21, 86, 86, 57, 17
21, 188, 57, 17, 188, 188
91, 198, 200, 198, 198, 20
194, 194, 70, 194, 64, 180
105, 178, 178, 178, 182, 43
170, 55, 103, 36, 103, 103
115, 55, 170, 115, 36, 115
96, 16, 148, 148, 65, 148
40, 178, 178, 178, 29, 113
128, 173, 173, 53, 184, 173
77, 124, 124, 80, 124, 135
16, 70, 23, 70, 70, 88
136, 136, 23, 136, 16, 88
116, 86, 20, 104, 116, 116
188, 188, 178, 188, 44, 193
172, 172, 172, 170, 36, 55
167, 101, 52, 199, 167, 167
113, 96, 29, 96, 96, 40
148, 140, 148, 35, 150, 148
200, 200, 200, 106, 188, 93
173, 115, 115, 85, 115, 19
156, 93, 106, 188, 156, 156
21, 126, 17, 126, 126, 57
198, 150, 198, 198, 140, 35
88, 55, 88, 88, 36, 170
193, 195, 44, 195, 178, 195
149, 180, 149, 149, 64, 70
29, 113, 147, 40, 147, 147
11, 38, 38, 16, 38, 36
92, 155, 139, 138, 138, 138
79, 79, 79, 86, 104, 20
194, 194, 194, 86, 20, 104
171, 124, 86, 124, 124, 91
156, 139, 155, 92, 156, 156
200, 200, 139, 155, 92, 200
16, 96, 178, 178, 178, 65
70, 96, 16, 70, 70, 65
88, 194, 194, 16, 23, 194
199, 146, 146, 146, 52, 101
146, 93, 188, 146, 106, 146
17, 124, 124, 168, 34, 124
147, 70, 64, 147, 180, 147
115, 140, 35, 150, 115, 115
170, 55, 36, 155, 155, 155
11, 87, 87, 36, 87, 16
198, 198, 105, 198, 157, 190
55, 198, 36, 198, 198, 170
91, 170, 200, 170, 20, 170
188, 188, 36, 188, 11, 16
181, 131, 189, 29, 189, 189
34, 17, 21, 57, 34, 34
117, 23, 88, 117, 16, 117
116, 86, 116, 104, 20, 116
46, 57, 21, 17, 46, 46
58, 39, 189, 189, 189, 166
146, 193, 146, 178, 146, 44
61, 61, 88, 23, 16, 61
146, 45, 119, 146, 44, 146
124, 124, 11, 16, 36, 124
120, 186, 198, 198, 198, 132
168, 34, 106, 106, 106, 17
147, 147, 22, 147, 178, 97
167, 16, 167, 167, 11, 36
173, 136, 85, 136, 19, 136
195, 11, 36, 195, 16, 195
146, 11, 16, 36, 146, 146
136, 136, 136, 178, 22, 97
36, 97, 16, 97, 97, 11
104, 16, 104, 88, 104, 23
135, 124, 86, 79, 124, 124
174, 174, 174, 11, 36, 16
162, 203, 203, 203, 180, 87
105, 182, 156, 43, 156, 156
138, 37, 138, 183, 156, 138
86, 108, 135, 108, 108, 79
21, 172, 57, 172, 172, 17
183, 86, 183, 183, 135, 79
131, 116, 29, 116, 181, 116
17, 168, 34, 167, 167, 167
156, 194, 37, 194, 194, 183
16, 148, 148, 148, 88, 23
194, 40, 113, 194, 194, 29
101, 195, 199, 52, 195, 195
97, 22, 130, 178, 130, 130
115, 91, 115, 115, 200, 20
105, 190, 170, 170, 157, 170
44, 200, 119, 200, 45, 200
96, 113, 96, 29, 40, 96
16, 36, 173, 11, 173, 173
96, 147, 65, 16, 147, 147
116, 182, 116, 117, 29, 116
195, 195, 79, 86, 195, 135
136, 16, 96, 136, 65, 136
147, 147, 173, 19, 85, 147
35, 170, 150, 140, 170, 170
119, 144, 144, 144, 44, 45
117, 117, 29, 40, 117, 113
138, 44, 45, 138, 119, 138
144, 106, 144, 144, 93, 188
113, 29, 156, 156, 156, 40
173, 117, 19, 117, 85, 117
130, 96, 65, 130, 130, 16
117, 117, 182, 117, 43, 105
194, 29, 131, 194, 194, 181
96, 16, 104, 104, 65, 104
103, 21, 17, 103, 103, 57
194, 65, 16, 96, 194, 194
185, 170, 185, 185, 55, 36
47, 47, 16, 88, 47, 23
23, 16, 88, 203, 203, 203
155, 180, 155, 155, 87, 162
117, 116, 182, 116, 29, 116
86, 107, 107, 104, 107, 20
65, 117, 16, 117, 117, 96
144, 144, 144, 29, 181, 131
200, 183, 37, 200, 156, 200
117, 189, 189, 182, 189, 29
85, 85, 45, 85, 119, 44
52, 174, 199, 101, 174, 174
190, 155, 155, 105, 157, 155
167, 44, 178, 193, 167, 167
19, 203, 203, 203, 173, 85
156, 183, 127, 127, 127, 37
182, 200, 200, 200, 105, 43
167, 21, 17, 167, 167, 57
91, 86, 146, 171, 146, 146
195, 171, 195, 195, 91, 86
178, 16, 178, 88, 23, 178
190, 185, 157, 185, 185, 105
138, 138, 138, 21, 17, 57
173, 170, 170, 170, 85, 19
188, 17, 34, 168, 188, 188
89, 89, 44, 45, 119, 89
144, 155, 144, 139, 92, 144
92, 189, 155, 139, 189, 189
70, 180, 117, 64, 117, 117
43, 138, 182, 105, 138, 138
146, 181, 146, 146, 131, 29
55, 55, 57, 17, 55, 21
168, 17, 34, 174, 174, 174
135, 80, 146, 77, 146, 146
178, 22, 170, 170, 97, 170
58, 39, 124, 124, 166, 124
70, 130, 64, 130, 180, 130
88, 147, 147, 23, 16, 147
115, 88, 115, 115, 23, 16
65, 96, 203, 203, 203, 16
139, 155, 146, 92, 146, 146
19, 104, 173, 104, 85, 104
16, 85, 36, 11, 85, 85
52, 126, 126, 199, 101, 126
168, 85, 34, 17, 85, 85
135, 86, 173, 173, 173, 79
167, 120, 167, 186, 132, 167
194, 194, 29, 117, 182, 194
104, 104, 113, 40, 29, 104
58, 106, 166, 106, 39, 106
90, 90, 90, 119, 45, 44
34, 17, 126, 126, 126, 168
46, 16, 46, 11, 46, 36
200, 155, 91, 155, 20, 155
174, 186, 132, 174, 174, 120
146, 117, 146, 29, 182, 146
109, 109, 22, 109, 97, 178
16, 170, 23, 170, 88, 170
106, 180, 70, 106, 64, 106
108, 166, 58, 108, 108, 39
194, 194, 194, 43, 105, 182
180, 203, 203, 64, 203, 70
126, 126, 126, 36, 11, 16
43, 127, 105, 127, 127, 182
138, 93, 106, 188, 138, 138
109, 109, 109, 20, 200, 91
82, 82, 45, 44, 119, 82
200, 200, 40, 29, 200, 113
39, 166, 116, 116, 116, 58
172, 52, 101, 199, 172, 172
99, 99, 19, 173, 85, 99
17, 21, 57, 174, 174, 174
85, 20, 85, 85, 86, 104
156, 37, 183, 149, 149, 149
21, 111, 111, 57, 17, 111
38, 38, 21, 17, 38, 57
130, 130, 130, 23, 88, 16
57, 115, 21, 17, 115, 115
135, 173, 80, 173, 77, 173
139, 194, 194, 155, 194, 92
199, 101, 52, 188, 188, 188
104, 189, 189, 189, 86, 20
156, 156, 92, 139, 155, 156
148, 85, 148, 148, 19, 173
132, 120, 155, 186, 155, 155
137, 192, 193, 178, 193, 193
116, 44, 45, 116, 116, 119
156, 45, 44, 156, 156, 119
29, 40, 130, 113, 130, 130
185, 140, 150, 185, 185, 35
140, 109, 109, 150, 35, 109
144, 144, 155, 144, 139, 92
138, 36, 138, 55, 170, 138
80, 135, 167, 77, 167, 167
105, 144, 144, 144, 43, 182
198, 180, 162, 198, 87, 198
178, 185, 185, 97, 22, 185
111, 111, 170, 36, 55, 111
173, 173, 20, 104, 86, 173
44, 174, 193, 178, 174, 174
70, 178, 178, 180, 64, 178
138, 138, 140, 150, 138, 35
36, 55, 109, 109, 170, 109
79, 116, 116, 135, 116, 86
178, 97, 22, 115, 115, 115
44, 45, 79, 79, 79, 119
39, 166, 173, 58, 173, 173
90, 90, 104, 20, 86, 90
40, 149, 149, 113, 29, 149
86, 183, 183, 183, 91, 171
44, 178, 172, 172, 172, 193
189, 184, 53, 189, 128, 189
168, 195, 17, 195, 195, 34
178, 178, 37, 156, 178, 183
194, 92, 194, 155, 139, 194
138, 138, 138, 20, 200, 91
57, 155, 155, 17, 21, 155
131, 181, 116, 116, 116, 29
168, 172, 34, 17, 172, 172
86, 106, 106, 106, 135, 79
57, 21, 17, 54, 54, 54
157, 190, 172, 105, 172, 172
148, 148, 148, 178, 97, 22
106, 113, 106, 106, 40, 29
135, 77, 80, 195, 195, 195
130, 173, 85, 130, 19, 130
96, 45, 96, 44, 119, 96
115, 65, 115, 16, 96, 115
203, 178, 22, 203, 97, 203
86, 173, 91, 173, 171, 173
19, 149, 149, 85, 173, 149
180, 138, 70, 138, 138, 64
148, 87, 148, 180, 148, 162
106, 135, 80, 77, 106, 106
155, 35, 155, 150, 140, 155
194, 44, 194, 45, 194, 119
146, 139, 146, 146, 155, 92
273
