61	80	64	28
44	82	93	39
18	4	3	36
40	30	81	22
30	60	11	7
64	91	74	48
37	91	5	39
23	16	15	39
43	24	59	42
89	39	53	48
55	56	31	40
99	19	94	20
23	72	66	37
44	17	42	45
1	34	95	31
79	47	4	18
88	60	5	38
85	36	52	22
25	31	46	21
58	63	77	22
77	23	9	26
59	5	38	33
59	75	80	50
2	54	42	1
80	30	55	39
48	30	85	37
37	91	21	35
62	59	3	1
47	47	85	50
83	17	22	22
52	22	9	10
48	7	56	31
86	66	70	31
67	30	21	42
81	94	95	41
92	79	95	33
94	76	3	37
27	56	42	23
39	87	84	5
23	79	9	42
98	56	42	19
80	68	34	40
59	69	13	14
64	24	56	18
61	2	28	5
37	87	26	45
16	52	37	12
66	85	78	2
27	54	91	36
90	39	80	6
13	22	84	10
95	68	56	4
65	73	60	23
30	65	58	43
38	70	6	37
17	33	60	35
76	48	93	1
43	46	85	36
34	23	92	50
73	11	17	8
7	8	27	19
51	31	67	18
29	41	97	46
94	57	25	12
24	84	4	34
32	10	30	38
67	8	38	13
66	19	67	45
39	73	60	38
12	99	51	13
23	86	57	32
74	79	87	44
94	87	94	17
94	62	66	15
91	47	48	10
17	33	61	3
63	27	2	12
48	18	96	4
52	68	17	30
58	44	58	36
13	16	4	37
9	18	43	50
63	98	46	17
19	82	46	49
65	78	32	17
86	41	13	48
11	53	74	22
89	47	100	31
52	39	1	49
10	46	30	16
98	62	20	48
19	17	95	4
71	4	19	24
51	100	46	8
57	28	10	34
41	60	31	26
57	99	58	21
20	38	52	32
96	91	93	19
50	59	17	44
99	89	79	8
29	91	69	45
9	97	94	22
23	88	99	47
8	88	86	19
77	79	59	26
42	73	3	30
24	69	21	15
57	5	44	32
23	60	94	29
98	3	48	27
81	27	35	11
60	71	84	48
47	76	50	4
17	13	65	23
98	88	33	40
97	64	45	40
15	83	14	18
68	53	32	31
27	59	64	44
39	38	58	46
44	72	23	22
62	68	31	40
16	49	16	26
46	89	88	5
1	57	20	9
9	78	15	22
31	43	10	25
44	57	94	34
73	82	91	46
97	50	9	35
15	49	69	46
30	12	31	37
7	86	45	24
68	88	29	50
48	76	61	29
60	96	61	23
10	81	56	29
60	69	86	4
99	63	40	5
19	32	6	28
32	94	87	43
13	22	67	34
62	58	5	30
76	66	47	2
77	12	34	49
94	95	53	49
79	1	51	11
47	32	82	48
19	20	31	23
89	77	23	27
46	44	96	50
59	30	67	44
22	82	7	39
76	11	71	6
22	50	15	33
44	47	45	17
70	84	18	33
70	23	15	17
72	49	80	14
78	59	82	8
16	58	40	18
28	65	51	25
63	67	9	40
54	53	37	28
61	38	13	8
43	24	68	33
74	40	64	6
8	87	30	45
84	53	74	47
95	58	100	9
14	60	50	20
87	57	44	4
9	13	71	48
76	15	27	49
42	76	82	47
26	45	60	50
43	81	2	18
47	17	77	2
82	53	68	22
47	25	68	49
49	12	52	1
18	34	97	12
41	95	44	45
39	6	59	9
51	53	45	36
36	65	43	4
30	83	53	20
81	49	93	42
82	74	36	39
66	82	70	8
57	5	81	8
66	21	8	28
65	89	83	31
69	87	15	35
89	92	84	21
17	29	80	39
45	69	2	22
10	39	56	29
19	40	14	10
55	91	59	20
10	75	64	39
32	41	85	38
21	11	51	42
70	4	49	2
33	29	12	19
46	76	19	7
11	88	2	30
78	23	69	34
32	16	88	43
42	90	88	2
27	43	99	18
58	32	69	28
4	85	40	36
49	25	21	9
47	68	94	25
38	48	43	15
89	64	70	50
49	95	23	20
57	48	54	49
47	12	22	21
75	15	25	37
92	7	11	48
26	38	41	41
91	23	69	36
54	10	46	45
65	85	25	14
59	99	61	13
43	83	12	24
46	40	96	3
52	14	82	37
75	61	86	15
80	96	68	22
24	78	59	28
55	2	43	23
78	23	97	17
25	54	38	11
66	89	1	35
82	69	67	47
21	66	70	19
100	58	14	38
70	93	97	16
45	41	15	22
42	9	72	23
69	38	92	13
94	27	31	44
13	11	98	25
66	59	46	5
59	1	4	36
56	9	40	42
18	60	97	32
44	100	99	12
20	55	93	22
71	84	75	44
69	88	91	27
18	4	86	25
54	19	78	38
84	37	22	12
76	91	30	7
42	45	41	14
13	98	68	14
19	73	51	30
24	19	94	8
63	45	95	3
68	87	65	27
75	62	71	36
85	19	67	32
53	12	16	34
97	40	100	28
89	67	79	10
47	41	21	32
62	51	99	37
6	78	28	24
85	31	100	3
40	6	24	37
50	14	15	12
36	88	81	10
41	1	56	9
97	82	83	39
96	59	46	45
42	81	27	44
79	17	94	13
89	33	45	45
97	95	51	43
2	57	39	20
60	24	70	11
60	56	25	25
37	9	9	40
42	26	95	20
94	11	33	1
44	39	27	24
89	68	51	42
75	62	86	28
63	34	78	24
16	43	64	10
64	74	6	37
99	39	20	34
1	68	41	12
88	63	50	21
66	91	43	15
93	35	58	19
70	82	20	10
80	28	98	28
73	85	30	7
4	83	4	47
96	46	46	48
75	76	63	29
17	74	3	31
65	21	100	13
73	69	63	32
23	47	39	25
62	54	54	32
76	17	70	38
38	19	99	27
72	89	9	12
22	76	47	21
93	52	38	20
93	43	29	28
13	48	72	19
90	27	57	1
11	59	99	26
10	41	67	27
8	91	8	12
36	81	48	3
14	63	57	5
38	85	97	41
48	86	75	25
24	71	55	3
52	19	60	40
62	19	84	39
4	84	94	19
68	44	55	6
21	19	18	29
93	12	39	36
69	54	41	39
55	41	37	34
33	19	6	43
43	22	40	30
81	81	63	24
99	54	44	50
73	1	86	1
5	81	77	28
70	47	19	46
15	63	14	48
39	11	77	14
77	53	99	38
88	31	56	15
100	33	16	39
9	54	4	34
26	18	60	14
82	41	11	17
85	88	70	44
57	28	16	20
17	72	3	35
82	59	55	25
77	91	90	36
49	100	30	2
54	19	26	23
98	69	8	20
75	76	74	12
94	40	50	32
10	28	74	25
59	6	90	27
95	18	95	27
68	7	86	17
18	58	3	38
43	61	82	9
51	63	99	35
60	61	95	26
87	56	8	1
60	30	16	31
96	12	10	17
33	6	45	13
10	82	28	1
37	74	10	16
79	4	42	43
69	21	74	33
55	31	57	14
25	94	75	1
26	49	65	30
74	82	45	6
75	72	38	12
37	55	18	18
100	88	44	28
36	83	87	24
16	33	44	19
69	87	47	21
1	4	54	19
99	64	13	7
81	93	21	40
22	22	38	44
50	29	41	31
1	39	58	48
32	100	82	41
37	79	4	47
49	14	71	31
17	70	63	46
52	62	23	4
86	50	94	48
40	20	38	35
94	67	39	50
51	27	45	1
98	24	9	6
48	4	76	5
29	64	67	5
46	11	23	9
10	58	87	42
15	98	84	1
52	22	83	31
41	4	60	17
34	64	34	44
66	84	38	26
99	17	72	23
53	100	80	44
68	19	20	43
98	68	66	23
13	15	5	20
80	91	84	38
40	95	88	31
8	60	36	33
5	20	44	30
76	36	13	4
40	58	82	11
96	80	93	40
17	93	30	46
92	76	90	36
43	57	43	2
72	70	39	4
72	2	75	20
95	57	99	36
52	47	65	14
34	63	51	21
66	85	9	45
54	94	78	2
71	31	91	31
1	15	17	1
75	71	41	36
40	90	1	18
74	86	26	30
47	38	43	6
14	42	82	29
56	84	56	25
4	9	13	34
38	90	84	38
9	98	45	35
78	70	21	36
60	1	6	9
1	62	1	22
88	62	97	48
80	70	72	21
65	76	86	21
24	84	31	43
62	42	29	22
40	40	42	16
93	70	54	9
17	32	8	24
39	69	21	13
1	59	38	28
41	8	75	26
54	86	24	48
33	66	97	14
30	34	90	38
68	89	31	19
83	69	12	41
3	43	84	23
78	23	76	36
43	59	77	36
87	37	55	25
91	13	44	38
12	52	59	1
97	31	7	1
93	17	47	7
93	38	59	4
51	82	97	8
86	11	19	45
36	56	47	28
48	66	34	47
11	74	81	6
13	88	48	25
11	100	76	23
24	42	34	13
68	23	9	7
4	75	61	31
93	73	44	4
16	17	73	22
78	36	7	32
92	38	22	13
97	52	94	13
99	93	41	44
68	83	21	49
94	70	53	44
48	41	44	1
5	85	1	11
65	64	79	35
16	73	42	43
15	17	22	5
99	40	20	6
99	73	8	28
17	18	46	29
24	55	92	8
1	59	95	22
32	39	63	32
52	68	95	17
6	45	58	18
55	32	28	6
20	70	12	42
93	78	40	40
3	63	24	32
19	99	28	29
95	14	22	21
42	57	94	20
92	19	45	22
61	20	7	26
63	20	82	41
7	100	14	23
89	82	95	28
96	9	62	49
23	82	8	34
100	53	25	34
95	5	2	38
82	98	69	24
35	55	92	4
78	82	85	20
5	74	91	28
34	87	5	19
92	67	65	27
13	70	80	4
54	7	16	5
10	36	3	43
9	41	51	44
45	43	88	15
75	44	41	50
70	45	97	7
5	79	90	36
94	16	80	22
89	20	84	44
37	87	39	32
57	77	98	20
24	73	99	12
64	13	50	3
56	55	76	47
56	52	12	13
91	26	29	39
19	64	71	19
47	24	4	20
100	94	29	10
28	44	20	18
71	82	68	2
41	40	38	50
38	61	48	32
10	37	16	37
74	60	86	5
76	26	44	5
88	45	63	27
51	55	80	20
87	48	29	41
84	16	68	2
31	72	16	13
4	92	25	43
23	7	58	19
42	73	99	4
28	97	22	40
34	20	54	28
14	47	87	49
44	15	65	22
28	65	20	37
56	71	73	43
78	61	93	30
78	92	17	12
31	74	74	28
27	88	84	2
51	55	62	47
68	100	92	4
33	79	86	24
24	12	35	14
84	12	96	33
40	12	27	39
64	12	60	35
68	24	97	36
69	5	41	50
24	5	95	3
