X	Y
-4,724692452	1,78588566
-1,01847927	0,459319362
2,051527508	3,371585414
-2,297699099	8,19601519
-3,471198622	0,768029126
1,734429157	3,489506824
-2,111763705	0,199123804
-0,791641637	5,987820171
-3,397043689	1,668117707
-1,728916835	2,630306941
5,508062621	2,378863987
3,258628001	3,648311353
-2,551196983	8,717938056
-3,702304986	1,73033792
-1,615753426	-0,518518044
2,911359447	2,750198456
-1,484881606	8,426171702
-2,742412186	6,935352054
3,238783546	5,532508546
-1,428528711	1,804920811
3,980408796	3,100300279
4,180140982	3,991487111
-0,397974255	8,691934548
-2,364857596	8,871058434
3,360876182	4,281696539
-2,859282558	1,306220958
-4,382220907	2,655487053
-3,364208922	0,828832499
-1,422978238	-0,098151798
-2,754233519	-0,134780808
3,273433893	2,739969199
-1,486268582	6,446994546
-2,378442781	0,21893398
-0,734800554	6,446580411
-1,702820367	8,672861403
2,301135023	2,462537975
-3,359427599	8,936310977
2,329544824	3,789903532
-2,941517035	6,559341936
-2,852126861	1,130678097
-1,879352381	2,602141305
4,612591437	2,208061892
-2,095421778	6,967522284
-3,146414005	2,215288964
0,187138204	7,89167394
5,242126943	2,753339922
-0,530313799	6,685578317
-0,830438991	1,75249227
2,671204474	3,02468917
-0,745765234	6,185026456
3,62072616	4,185218477
1,672032396	8,747466246
-3,99235467	2,047060486
-2,152371952	5,997462069
2,399209101	3,931414502
-1,256582572	5,134672454
0,809363622	8,399158821
-1,570032754	8,471042672
5,543728003	0,311422899
-1,395402909	-0,255005571
3,962639834	1,909421391
-1,405318762	1,891210421
-1,065547246	-0,216241707
5,085121327	1,536509849
-4,142562249	1,129337915
3,748644546	1,382453355
0,150917373	5,828796301
2,113761029	2,072071472
-2,374165736	-0,156377298
-2,371316512	0,60016362
-1,326253962	5,890193011
-0,917471668	5,805837466
-0,495030205	5,98005654
-3,671184855	0,914593551
2,253497417	2,691267224
-0,015520384	4,820218248
1,467684675	2,740011273
-3,150308335	1,055108141
-0,578277059	6,886991014
-1,999525996	1,839699349
4,09029265	5,189688193
-0,808523833	4,420971263
1,117499763	7,569566935
-2,829497021	0,326101596
-2,842926699	1,085969204
4,081890897	3,555328812
-0,716537788	7,628384563
-3,076917939	8,647547291
1,892020837	7,769319028
1,994742093	1,93841757
3,244017342	1,593143488
-1,725854622	0,55042975
3,836039614	2,140397383
-1,944412859	-0,175953888
-1,330934794	0,17420465
3,635238185	4,0240774
-4,197755059	1,569051639
-2,326003927	7,691608671
0,322977702	6,268224046
-0,812680839	6,368332229
2,202925508	2,458468953
1,94743792	2,215646051
0,218080667	6,698518033
-3,293536455	1,643436077
-3,242453036	2,053403165
-3,365447033	1,810431068
-5,208278569	1,698473438
1,227577533	7,959474851
-1,169281333	6,718493917
3,989732408	3,949731987
-0,284455876	6,683306051
-3,930470403	2,331869157
-3,320860896	1,389651954
3,552943947	4,184461472
4,526273401	0,7368437
5,016775544	3,741894533
-1,262447677	6,353897457
5,881144848	2,313421935
-1,014175324	7,037623082
-0,01774303	8,354815034
-2,82941975	2,60751777
-2,940450796	8,155882288
-1,742559643	6,963921907
3,277779311	2,480732492
4,989920672	1,583693591
-3,626885939	7,161236474
-2,498927357	5,63957652
5,227531116	1,097163794
-2,613441905	8,270423731
-0,671720852	8,504890698
-4,777749639	1,49993823
4,980702095	1,487009121
1,287510753	6,816473915
-3,485360587	7,089044632
2,42165592	3,42059724
-2,39688936	0,265603459
0,164551714	7,77600027
6,431195567	0,906802437
-2,787095373	1,059067769
4,026509266	3,342370098
-3,718704881	7,329638731
0,267515112	7,135069445
-2,681822197	2,316421814
4,599422455	1,241987503
-2,336880827	5,657014438
0,550450511	6,641388022
-3,321672253	8,78748915
-1,288215105	0,030734028
-0,71661965	6,949008867
-2,385686574	-0,381617296
4,649502431	5,39636627
-1,770015304	5,517303021
-0,990453579	3,850554505
-1,673870681	1,645604177
-3,459276406	0,669765918
-4,106990567	2,652449043
-1,36690885	0,493577388
-0,970945713	-0,447164177
3,538622748	0,96061385
4,647927583	2,198923878
-0,676818415	6,158170268
-1,609944215	2,432243561
-2,076742209	2,195055384
3,443795162	2,124641596
-0,674728007	8,508074532
-3,27581277	1,45923097
-2,53360287	0,136581597
-1,167228367	0,991671128
-0,971312087	5,562134474
0,132337867	8,262751312
-5,204226387	2,328821046
5,922337494	2,471501611
0,432619637	9,061512948
-1,603499333	6,822105763
4,320497698	4,158885928
-0,776659253	6,689726405
-0,340077765	6,26719697
2,491105155	2,434381851
0,781484537	6,821871346
0,197725559	5,558648973
-0,166199073	5,501744034
3,35280157	2,745958359
-1,381704708	8,172577167
-2,261103961	0,924493001
-2,830664362	7,77413699
2,522020302	2,939151859
0,234407408	8,756159244
-1,812876998	1,951164685
-3,011477185	0,468974878
-3,619567563	0,479359684
-0,710692396	6,86920447
-3,63034579	0,754181218
-2,350392904	0,515429422
0,979530306	7,105005337
-2,874772154	-0,431199311
-3,878793331	2,242924742
-1,687211697	-0,134835128
-0,484228858	7,717255266
0,874149662	6,996716552
-2,453939195	0,469855534
-3,010839723	1,560188244
-2,508321054	1,378134761
4,830336278	4,822987971
-0,75829515	5,324968621
-2,272680065	-0,926029257
-1,065631946	-1,905377849
4,374754765	5,3614419
-3,200941242	7,525340561
3,074721075	3,714190895
-4,632061446	1,924813328
-1,482657961	8,168042235
-3,981781908	2,620309877
1,573574091	2,747538339
4,027793949	2,657282922
1,293248945	2,661743662
4,578038945	5,098448725
-4,13141802	0,977546344
-3,384543167	2,785477737
4,346702029	3,278912393
-1,505153074	2,380108277
4,478257807	3,167903816
-0,297834073	5,264704493
4,539234893	2,928723542
-2,184327084	7,005911099
-2,182392984	2,490053277
-1,430058094	6,967884014
2,314844876	2,728918946
-1,023207712	2,428643781
-2,735282735	-0,05002496
-3,977420247	2,70095158
-2,361862682	2,092296524
-3,125473153	0,94198426
-4,960164144	2,668723043
-1,704411049	6,81888175
-1,520728204	1,533619445
-1,246956292	5,787052468
-5,24048026	1,747462439
0,447937715	8,90493341
3,749012215	5,190268385
-2,58820539	1,757687093
-2,929462259	1,117984745
5,242453047	1,650331231
-1,492945001	5,622755186
2,627922936	4,570650307
-1,35235956	2,453496188
3,010474677	5,313871183
-2,178245725	0,543533349
-1,871080446	2,125503759
-2,248029592	-0,085719466
-2,044085659	6,974723494
4,234394697	1,731193026
4,746647337	0,64104498
-2,366554675	-0,340491251
-2,083192428	0,757514094
3,060731049	1,64240482
-0,618309995	8,392686562
5,331460227	1,609079066
-0,008720034	7,967208209
-2,925029716	-0,565306232
-1,038234915	-0,146827025
-0,206872356	8,540957435
-5,8842317	2,815424221
2,612796979	3,493534551
-2,424311257	7,853950706
-2,522857896	0,094626856
-2,483940966	1,662901882
3,104894301	4,114204823
-0,94817843	8,194389
-2,472731464	5,815084028
2,47451397	2,447772526
3,171287782	2,582642118
2,996194249	1,678899234
-3,36414195	0,020640703
-2,801876717	0,305184556
-3,17205793	2,445372109
-2,163287614	6,934933028
0,059493366	7,638998551
-0,620981157	5,24845889
2,142938407	3,164502584
-2,082061282	2,667830981
-0,345406258	6,885544619
-2,41029243	2,010979403
-1,749842607	0,909586404
-3,266606312	0,297908695
-1,558611964	1,534231885
-1,357348144	6,881998062
-1,951373694	1,58117803
-3,573436045	0,186265369
4,093557457	1,601084109
3,69136397	3,406448602
4,177620454	2,202775297
-2,054288206	8,193955318
-2,904370988	2,573534592
-0,241673225	4,800169658
-1,163911368	2,18728939
-0,869542108	7,981696001
3,389914156	3,428956215
-2,98394674	0,023609889
-0,14049735	8,798970771
-1,323517985	5,424070283
-0,143441824	7,411579924
-1,547682056	6,994539714
4,795300534	2,195833825
-0,107533542	7,30020165
-3,56782909	0,595621731
0,188788124	7,280287832
2,717641493	3,574769916
4,460710365	6,033667963
5,254853319	3,985259976
-2,328091235	6,536651223
-1,620811261	-0,446371674
2,629304921	3,361233124
-1,735929108	0,762890209
-1,994133631	6,082087131
4,890954962	1,134257118
-2,157666422	8,268267942
-2,568596736	1,251826294
2,413504782	1,578272665
-1,122634775	8,049755878
4,333114816	5,698275706
2,889016583	3,332232065
-2,51266554	-0,271120658
-0,679810326	4,448296018
-3,246311966	1,806082894
-3,826184298	0,494242431
-3,017658087	0,34122032
-2,002493471	1,897919545
-3,206491636	0,413526999
-5,702992354	2,621734367
3,519368284	4,315306568
0,013236314	7,071469331
3,942690442	4,344778577
-0,872033808	0,598299753
-2,252417921	7,564625208
-2,251328117	6,247324847
4,986479029	2,727650511
3,763018321	4,995439159
2,157796365	3,743641228
3,972819712	2,463950015
5,357767735	1,118399538
-1,795808333	6,821310281
0,704024455	8,867255865
2,267143066	3,087867653
5,421815031	1,664817951
5,410931328	2,277628642
-1,307639961	5,79981012
4,13056464	2,857258495
-3,163679179	2,787919715
1,511774869	2,837773072
4,044353286	3,827841033
